Date,Close
2010/1/28,"3,206.57"
2010/1/29,"3,204.16"
2010/2/1,"3,152.71"
2010/2/2,"3,146.19"
2010/2/3,"3,230.72"
2010/2/4,"3,218.80"
2010/2/5,"3,153.09"
2010/2/8,"3,150.99"
2010/2/9,"3,169.19"
2010/2/10,"3,214.13"
2010/2/11,"3,220.40"
2010/2/12,"3,251.28"
2010/2/22,"3,233.35"
2010/2/23,"3,198.63"
2010/2/24,"3,244.48"
2010/2/25,"3,292.13"
2010/2/26,"3,281.67"
2010/3/1,"3,324.42"
2010/3/2,"3,311.24"
2010/3/3,"3,335.08"
2010/3/4,"3,250.57"
2010/3/5,"3,259.76"
2010/3/8,"3,286.18"
2010/3/9,"3,305.86"
2010/3/10,"3,279.69"
2010/3/11,"3,276.71"
2010/3/12,"3,233.13"
2010/3/15,"3,183.18"
2010/3/16,"3,203.97"
2010/3/17,"3,273.92"
2010/3/18,"3,267.56"
2010/3/19,"3,293.87"
2010/3/22,"3,302.63"
2010/3/23,"3,275.57"
2010/3/24,"3,276.67"
2010/3/25,"3,229.13"
2010/3/26,"3,275.00"
2010/3/29,"3,358.54"
2010/3/30,"3,366.71"
2010/3/31,"3,345.61"
2010/4/1,"3,391.94"
2010/4/2,"3,407.35"
2010/4/6,"3,405.15"
2010/4/7,"3,386.95"
2010/4/8,"3,346.74"
2010/4/9,"3,379.17"
2010/4/12,"3,351.48"
2010/4/13,"3,391.72"
2010/4/14,"3,403.71"
2010/4/15,"3,394.57"
2010/4/16,"3,356.33"
2010/4/19,"3,176.42"
2010/4/20,"3,173.37"
2010/4/21,"3,236.68"
2010/4/22,"3,201.54"
2010/4/23,"3,190.00"
2010/4/26,"3,172.00"
2010/4/27,"3,108.41"
2010/4/28,"3,097.35"
2010/4/29,"3,060.06"
2010/4/30,"3,067.37"
2010/5/4,"3,019.45"
2010/5/5,"3,036.39"
2010/5/6,"2,896.86"
2010/5/7,"2,836.79"
2010/5/10,"2,858.23"
2010/5/11,"2,800.82"
2010/5/12,"2,818.16"
2010/5/13,"2,886.91"
2010/5/14,"2,868.02"
2010/5/17,"2,714.72"
2010/5/18,"2,771.35"
2010/5/19,"2,762.17"
2010/5/20,"2,726.02"
2010/5/21,"2,768.79"
2010/5/24,"2,873.47"
2010/5/25,"2,813.94"
2010/5/26,"2,813.94"
2010/5/27,"2,859.98"
2010/5/28,"2,850.30"
2010/5/31,"2,773.26"
2010/6/1,"2,744.16"
2010/6/2,"2,757.53"
2010/6/3,"2,736.08"
2010/6/4,"2,744.39"
2010/6/7,"2,695.72"
2010/6/8,"2,699.34"
2010/6/9,"2,782.13"
2010/6/10,"2,750.02"
2010/6/11,"2,758.87"
2010/6/17,"2,742.73"
2010/6/18,"2,696.17"
2010/6/21,"2,780.66"
2010/6/22,"2,783.72"
2010/6/23,"2,758.50"
2010/6/24,"2,757.50"
2010/6/25,"2,736.29"
2010/6/28,"2,716.78"
2010/6/29,"2,592.02"
2010/6/30,"2,563.07"
2010/7/1,"2,526.07"
2010/7/2,"2,534.11"
2010/7/5,"2,512.65"
2010/7/6,"2,562.90"
2010/7/7,"2,580.48"
2010/7/8,"2,575.92"
2010/7/9,"2,647.10"
2010/7/12,"2,676.22"
2010/7/13,"2,634.59"
2010/7/14,"2,653.61"
2010/7/15,"2,608.52"
2010/7/16,"2,616.13"
2010/7/19,"2,682.47"
2010/7/20,"2,741.50"
2010/7/21,"2,747.34"
