,value,cash,portfolio
2012-06-15,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-18,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-19,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-20,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-21,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-25,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-26,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-27,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-28,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-06-29,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-02,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-03,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-04,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-05,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-06,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-09,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-10,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-11,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-12,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-13,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-16,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-17,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-18,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-19,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-20,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-23,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-24,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-25,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-26,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-27,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-30,1145405.111473627,0.0,定期存款利率：3个月（月）
2012-07-31,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-01,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-02,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-03,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-06,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-07,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-08,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-09,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-10,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-13,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-14,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-15,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-16,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-17,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-20,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-21,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-22,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-23,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-24,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-27,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-28,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-29,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-30,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-08-31,1145389.8558514682,0.0,定期存款利率：3个月（月）
2012-09-03,1145389.8558514682,0.0,HS300收盘价
2012-09-04,1133074.3333187643,0.0,HS300收盘价
2012-09-05,1130745.8977147099,0.0,HS300收盘价
2012-09-06,1139967.1195108995,0.0,HS300收盘价
2012-09-07,1191038.5017667196,0.0,HS300收盘价
2012-09-10,1195916.3944560084,0.0,HS300收盘价
2012-09-11,1188319.4235447661,0.0,HS300收盘价
2012-09-12,1192523.9717216243,0.0,HS300收盘价
2012-09-13,1181416.3572837391,0.0,HS300收盘价
2012-09-14,1190195.5361175695,0.0,HS300收盘价
2012-09-17,1160984.7203607433,0.0,HS300收盘价
2012-09-18,1148921.0595158953,0.0,HS300收盘价
2012-09-19,1154575.0974065356,0.0,HS300收盘价
2012-09-20,1128725.8641774172,0.0,HS300收盘价
2012-09-21,1130324.4148901347,0.0,HS300收盘价
2012-09-24,1138784.9115883112,0.0,HS300收盘价
2012-09-25,1136024.7130907895,0.0,HS300收盘价
2012-09-26,1123040.9860801008,0.0,HS300收盘价
2012-09-27,1157391.8362829636,0.0,HS300收盘价
2012-09-28,1178666.4388551095,0.0,HS300收盘价
2012-10-08,1166813.519422549,0.0,CRB现货指数：综合
2012-10-09,1161285.1718205104,0.0,CRB现货指数：综合
2012-10-10,1159102.304956186,0.0,CRB现货指数：综合
2012-10-11,1161261.445006768,0.0,CRB现货指数：综合
2012-10-12,1158437.9541713921,0.0,CRB现货指数：综合
2012-10-15,1151818.1731371912,0.0,CRB现货指数：综合
2012-10-16,1151391.0904898236,0.0,CRB现货指数：综合
2012-10-17,1152980.7870105815,0.0,CRB现货指数：综合
2012-10-18,1156587.262699465,0.0,CRB现货指数：综合
2012-10-19,1154736.571227538,0.0,CRB现货指数：综合
2012-10-22,1151391.0904898236,0.0,CRB现货指数：综合
2012-10-23,1143632.4223959753,0.0,CRB现货指数：综合
2012-10-24,1140761.4779331142,0.0,CRB现货指数：综合
2012-10-25,1135422.9448410168,0.0,CRB现货指数：综合
2012-10-26,1133026.5366530085,0.0,CRB现货指数：综合
2012-10-29,1131199.571994824,0.0,CRB现货指数：综合
2012-10-30,1130677.5820924856,0.0,CRB现货指数：综合
2012-10-31,1129775.9631702648,0.0,CRB现货指数：综合
2012-11-01,1132053.7372895596,0.0,CRB现货指数：综合
2012-11-02,1128186.2666495068,0.0,CRB现货指数：综合
2012-11-05,1125861.0389027265,0.0,CRB现货指数：综合
2012-11-06,1128565.895669389,0.0,CRB现货指数：综合
2012-11-07,1126169.487481381,0.0,CRB现货指数：综合
2012-11-08,1134023.0628301997,0.0,CRB现货指数：综合
2012-11-09,1132101.1909170446,0.0,CRB现货指数：综合
2012-11-12,1129775.9631702646,0.0,CRB现货指数：综合
2012-11-13,1131626.6546421917,0.0,CRB现货指数：综合
2012-11-14,1132504.5467506698,0.0,CRB现货指数：综合
2012-11-15,1136656.7391556345,0.0,CRB现货指数：综合
2012-11-16,1131721.5618971623,0.0,CRB现货指数：综合
2012-11-19,1129040.4319442422,0.0,CRB现货指数：综合
2012-11-20,1132077.464103302,0.0,CRB现货指数：综合
2012-11-21,1132243.5517995006,0.0,CRB现货指数：综合
2012-11-22,1132243.5517995006,0.0,CRB现货指数：综合
2012-11-23,1132860.4489568097,0.0,CRB现货指数：综合
2012-11-26,1134734.8672424795,0.0,CRB现货指数：综合
2012-11-27,1140642.8438644006,0.0,CRB现货指数：综合
2012-11-28,1141117.3801392538,0.0,CRB现货指数：综合
2012-11-29,1144130.6854845711,0.0,CRB现货指数：综合
2012-11-30,1147120.2640161456,0.0,CRB现货指数：综合
2012-12-03,1146455.9132313514,0.0,CRB现货指数：综合
2012-12-04,1146361.0059763808,0.0,CRB现货指数：综合
2012-12-05,1156397.448189524,0.0,CRB现货指数：综合
2012-12-06,1154617.9371588249,0.0,CRB现货指数：综合
2012-12-07,1149611.5794591247,0.0,CRB现货指数：综合
2012-12-10,1148876.0482331023,0.0,CRB现货指数：综合
2012-12-11,1149587.852645382,0.0,CRB现货指数：综合
2012-12-12,1152696.0652456698,0.0,CRB现货指数：综合
2012-12-13,1148069.3365658522,0.0,CRB现货指数：综合
2012-12-14,1151485.9977447945,0.0,CRB现货指数：综合
2012-12-17,1151675.8122547355,0.0,CRB现货指数：综合
2012-12-18,1151913.080392162,0.0,CRB现货指数：综合
2012-12-19,1153123.1478930374,0.0,CRB现货指数：综合
2012-12-20,1152245.255784559,0.0,CRB现货指数：综合
2012-12-21,1151984.2608333898,0.0,CRB现货指数：综合
2012-12-24,1149160.769998014,0.0,CRB现货指数：综合
2012-12-25,1149160.769998014,0.0,CRB现货指数：综合
2012-12-26,1149208.2236254993,0.0,CRB现货指数：综合
2012-12-27,1147476.1662222855,0.0,CRB现货指数：综合
2012-12-28,1146835.542251234,0.0,CRB现货指数：综合
2012-12-31,1146835.542251234,0.0,CRB现货指数：综合
2013-01-04,1146835.542251234,0.0,中债综合指数
2013-01-07,1148118.937285606,0.0,中债综合指数
2013-01-08,1148576.7336850618,0.0,中债综合指数
2013-01-09,1149221.5614340391,0.0,中债综合指数
2013-01-10,1149131.5672700435,0.0,中债综合指数
2013-01-11,1149018.0963676143,0.0,中债综合指数
2013-01-14,1149417.2009209862,0.0,中债综合指数
2013-01-15,1149701.2694560331,0.0,中债综合指数
2013-01-16,1149859.3461614863,0.0,中债综合指数
